id,name_cn,category,fields,required_fields,defaults,prompt_template,example
product-photography,产品摄影,product-photography,"主题,材质,背景,灯光方案,画面比例","主题,背景","画面比例=16:9","{主题}，{材质}材质，{背景}背景，{灯光方案}，{画面比例}","--field 主题=一杯桂花乌龙茶 --field 背景=大理石桌面"
ui-interface,UI界面,ui,"应用类型,设计风格,品牌色,交互状态,页面尺寸","应用类型,设计风格","页面尺寸=1920x1080","{设计风格}风格{应用类型}界面，品牌色{品牌色}，{交互状态}状态，{页面尺寸}","--field 应用类型=电商 --field 设计风格=极简"
video-storyboard,视频分镜,video-storyboard,"场景描述,运镜,时间线,色调,画面比例","场景描述,运镜","画面比例=16:9","{场景描述}，{运镜}运镜，{时间线}，{色调}色调，{画面比例}","--field 场景描述=城市夜景追车 --field 运镜=无人机俯拍"
portrait,人像摄影,photo,"主题,场景,光影,构图,镜头,色调,画面比例","主题","画面比例=3:4","{主题}，{场景}，{光影}，{构图}，{镜头}，{色调}，{画面比例}","--field 主题=商务肖像 --field 光影=蝶形光"
landscape,风光摄影,photo,"场景,光影,构图,镜头,色调,画面比例","场景","画面比例=16:9","{场景}，{光影}，{构图}，{镜头}，{色调}，{画面比例}","--field 场景=海边日出 --field 构图=三分法"
